Visitor/Neutral,Home/Neutral
Cleveland Cavaliers,Orlando Magic
Detroit Pistons,Philadelphia 76ers
Portland Trail Blazers,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
Milwaukee Bucks,Toronto Raptors
Oklahoma City Thunder,Utah Jazz
San Antonio Spurs,Atlanta Hawks
Los Angeles Clippers,Brooklyn Nets
New Orleans Pelicans,Chicago Bulls
Boston Celtics,Charlotte Hornets
Washington Wizards,Dallas Mavericks
Indiana Pacers,Detroit Pistons
Los Angeles Lakers,Houston Rockets
Golden State Warriors,Milwaukee Bucks
New York Knicks,Portland Trail Blazers
Memphis Grizzlies,Miami Heat
Utah Jazz,Oklahoma City Thunder
Minnesota Timberwolves,Phoenix Suns
Philadelphia 76ers,Toronto Raptors
Miami Heat,Atlanta Hawks
Orlando Magic,Brooklyn Nets
Philadelphia 76ers,Chicago Bulls
Phoenix Suns,Dallas Mavericks
Houston Rockets,Denver Nuggets
Los Angeles Clippers,Detroit Pistons
Toronto Raptors,Indiana Pacers
Washington Wizards,Memphis Grizzlies
New Orleans Pelicans,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
Cleveland Cavaliers,Boston Celtics
Milwaukee Bucks,Los Angeles Lakers
Denver Nuggets,Minnesota Timberwolves
Houston Rockets,Sacramento Kings
Philadelphia 76ers,Atlanta Hawks
Miami Heat,Brooklyn Nets
Memphis Grizzlies,Chicago Bulls
Boston Celtics,Detroit Pistons
Phoenix Suns,Golden State Warriors
Dallas Mavericks,Indiana Pacers
Milwaukee Bucks,Los Angeles Clippers
Minnesota Timberwolves,New York Knicks
Portland Trail Blazers,Oklahoma City Thunder
Charlotte Hornets,Orlando Magic
Washington Wizards,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Toronto Raptors,Charlotte Hornets
Oklahoma City Thunder,Cleveland Cavaliers
Houston Rockets,Los Angeles Lakers
Atlanta Hawks,Boston Celtics
Detroit Pistons,Chicago Bulls
Memphis Grizzlies,Dallas Mavericks
Milwaukee Bucks,Golden State Warriors
Brooklyn Nets,Indiana Pacers
Toronto Raptors,Miami Heat
Sacramento Kings,Minnesota Timberwolves
Portland Trail Blazers,Orlando Magic
New York Knicks,Philadelphia 76ers
New Orleans Pelicans,Phoenix Suns
Los Angeles Clippers,San Antonio Spurs
Denver Nuggets,Utah Jazz
Los Angeles Clippers,Houston Rockets
Indiana Pacers,Memphis Grizzlies
Chicago Bulls,New York Knicks
Los Angeles Lakers,Oklahoma City Thunder
Charlotte Hornets,Washington Wizards
Minnesota Timberwolves,Brooklyn Nets
Philadelphia 76ers,Cleveland Cavaliers
New Orleans Pelicans,Denver Nuggets
Portland Trail Blazers,Miami Heat
Atlanta Hawks,Orlando Magic
Milwaukee Bucks,Phoenix Suns
Sacramento Kings,Toronto Raptors
Portland Trail Blazers,Atlanta Hawks
Minnesota Timberwolves,Boston Celtics
Brooklyn Nets,Chicago Bulls
Charlotte Hornets,Houston Rockets
Oklahoma City Thunder,Los Angeles Clippers
Orlando Magic,New York Knicks
Indiana Pacers,San Antonio Spurs
Phoenix Suns,Utah Jazz
Sacramento Kings,Washington Wizards
Los Angeles Lakers,Denver Nuggets
Detroit Pistons,Miami Heat
Memphis Grizzlies,Philadelphia 76ers
Dallas Mavericks,Toronto Raptors
Detroit Pistons,Atlanta Hawks
Dallas Mavericks,Brooklyn Nets
Boston Celtics,Charlotte Hornets
New York Knicks,Cleveland Cavaliers
Utah Jazz,Golden State Warriors
Sacramento Kings,Indiana Pacers
Oklahoma City Thunder,Los Angeles Lakers
Philadelphia 76ers,Milwaukee Bucks
San Antonio Spurs,Minnesota Timberwolves
Portland Trail Blazers,New Orleans Pelicans
Houston Rockets,Orlando Magic
Denver Nuggets,Phoenix Suns
Memphis Grizzlies,Washington Wizards
Cleveland Cavaliers,Golden State Warriors
San Antonio Spurs,Houston Rockets
Los Angeles Clippers,Los Angeles Lakers
New Orleans Pelicans,Miami Heat
Chicago Bulls,Oklahoma City Thunder
New York Knicks,Atlanta Hawks
Washington Wizards,Brooklyn Nets
Memphis Grizzlies,Charlotte Hornets
Chicago Bulls,Dallas Mavericks
Boston Celtics,Detroit Pistons
Toronto Raptors,Milwaukee Bucks
Indiana Pacers,Minnesota Timberwolves
Houston Rockets,New Orleans Pelicans
Miami Heat,Orlando Magic
Philadelphia 76ers,Phoenix Suns
Cleveland Cavaliers,Portland Trail Blazers
Denver Nuggets,San Antonio Spurs
Los Angeles Clippers,Utah Jazz
New York Knicks,Boston Celtics
Los Angeles Lakers,Memphis Grizzlies
Denver Nuggets,Oklahoma City Thunder
Portland Trail Blazers,Sacramento Kings
Toronto Raptors,Chicago Bulls
Los Angeles Lakers,Charlotte Hornets
Milwaukee Bucks,Dallas Mavericks
Sacramento Kings,Golden State Warriors
Atlanta Hawks,Indiana Pacers
Brooklyn Nets,Miami Heat
New Orleans Pelicans,Orlando Magic
Cleveland Cavaliers,Phoenix Suns
Minnesota Timberwolves,San Antonio Spurs
Philadelphia 76ers,Utah Jazz
Los Angeles Clippers,Washington Wizards
Cleveland Cavaliers,Denver Nuggets
Atlanta Hawks,Houston Rockets
Miami Heat,Memphis Grizzlies
Detroit Pistons,New York Knicks
Milwaukee Bucks,Oklahoma City Thunder
Los Angeles Lakers,Boston Celtics
Indiana Pacers,Chicago Bulls
Los Angeles Clippers,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Utah Jazz,Minnesota Timberwolves
Brooklyn Nets,Orlando Magic
Denver Nuggets,Portland Trail Blazers
Philadelphia 76ers,Sacramento Kings
Phoenix Suns,San Antonio Spurs
Washington Wizards,Toronto Raptors
Minnesota Timberwolves,Detroit Pistons
Golden State Warriors,Houston Rockets
Milwaukee Bucks,Indiana Pacers
Los Angeles Clippers,New Orleans Pelicans
Phoenix Suns,Oklahoma City Thunder
Portland Trail Blazers,Utah Jazz
New York Knicks,Chicago Bulls
Philadelphia 76ers,Los Angeles Lakers
Dallas Mavericks,Miami Heat
Charlotte Hornets,Toronto Raptors
Orlando Magic,Washington Wizards
Brooklyn Nets,Boston Celtics
Oklahoma City Thunder,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
New Orleans Pelicans,Dallas Mavericks
Denver Nuggets,Golden State Warriors
Detroit Pistons,Indiana Pacers
Philadelphia 76ers,Los Angeles Clippers
Milwaukee Bucks,Minnesota Timberwolves
Phoenix Suns,Sacramento Kings
Houston Rockets,San Antonio Spurs
Memphis Grizzlies,Utah Jazz
Portland Trail Blazers,Denver Nuggets
Phoenix Suns,Los Angeles Lakers
Atlanta Hawks,New York Knicks
Chicago Bulls,Toronto Raptors
Miami Heat,Washington Wizards
Boston Celtics,Brooklyn Nets
Toronto Raptors,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Charlotte Hornets,Golden State Warriors
Indiana Pacers,Miami Heat
San Antonio Spurs,Milwaukee Bucks
Sacramento Kings,Oklahoma City Thunder
Minnesota Timberwolves,Philadelphia 76ers
Memphis Grizzlies,Portland Trail Blazers
Houston Rockets,Utah Jazz
New York Knicks,Atlanta Hawks
Milwaukee Bucks,Chicago Bulls
Sacramento Kings,Dallas Mavericks
Golden State Warriors,Los Angeles Lakers
Detroit Pistons,Boston Celtics
Toronto Raptors,Brooklyn Nets
New York Knicks,Miami Heat
Denver Nuggets,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Memphis Grizzlies,Oklahoma City Thunder
Indiana Pacers,Orlando Magic
Charlotte Hornets,Phoenix Suns
Los Angeles Clippers,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
Cleveland Cavaliers,Washington Wizards
Boston Celtics,Chicago Bulls
Utah Jazz,Houston Rockets
Atlanta Hawks,Philadelphia 76ers
Los Angeles Lakers,Sacramento Kings
Orlando Magic,Brooklyn Nets
Oklahoma City Thunder,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Dallas Mavericks,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Indiana Pacers,New Orleans Pelicans
Miami Heat,Phoenix Suns
Golden State Warriors,Portland Trail Blazers
New York Knicks,San Antonio Spurs
Toronto Raptors,Washington Wizards
Chicago Bulls,Atlanta Hawks
Brooklyn Nets,Detroit Pistons
Charlotte Hornets,Los Angeles Clippers
Washington Wizards,Orlando Magic
Toronto Raptors,Philadelphia 76ers
Golden State Warriors,Sacramento Kings
Miami Heat,Utah Jazz
Charlotte Hornets,Denver Nuggets
Indiana Pacers,Houston Rockets
New Orleans Pelicans,Los Angeles Clippers
Utah Jazz,Los Angeles Lakers
Boston Celtics,Memphis Grizzlies
Dallas Mavericks,Minnesota Timberwolves
Milwaukee Bucks,New York Knicks
Cleveland Cavaliers,Philadelphia 76ers
Oklahoma City Thunder,Portland Trail Blazers
San Antonio Spurs,Brooklyn Nets
Washington Wizards,Chicago Bulls
Miami Heat,Golden State Warriors
Cleveland Cavaliers,Dallas Mavericks
San Antonio Spurs,Detroit Pistons
Phoenix Suns,Indiana Pacers
New Orleans Pelicans,Los Angeles Lakers
Houston Rockets,Memphis Grizzlies
Chicago Bulls,Milwaukee Bucks
Oklahoma City Thunder,Minnesota Timberwolves
Boston Celtics,New York Knicks
Indiana Pacers,Boston Celtics
New York Knicks,Brooklyn Nets
Atlanta Hawks,Charlotte Hornets
Golden State Warriors,Denver Nuggets
Minnesota Timberwolves,Houston Rockets
Miami Heat,Los Angeles Clippers
Dallas Mavericks,Oklahoma City Thunder
Utah Jazz,Portland Trail Blazers
New Orleans Pelicans,Sacramento Kings
Milwaukee Bucks,Washington Wizards
Los Angeles Lakers,Golden State Warriors
Detroit Pistons,Memphis Grizzlies
Toronto Raptors,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Cleveland Cavaliers,San Antonio Spurs
Sacramento Kings,Utah Jazz
Phoenix Suns,Boston Celtics
Portland Trail Blazers,Brooklyn Nets
Dallas Mavericks,Chicago Bulls
Miami Heat,Denver Nuggets
Cleveland Cavaliers,Houston Rockets
Washington Wizards,Indiana Pacers
Atlanta Hawks,Milwaukee Bucks
Charlotte Hornets,New Orleans Pelicans
Minnesota Timberwolves,Oklahoma City Thunder
Brooklyn Nets,Atlanta Hawks
Milwaukee Bucks,Charlotte Hornets
Golden State Warriors,Detroit Pistons
Sacramento Kings,Los Angeles Clippers
New York Knicks,Memphis Grizzlies
Portland Trail Blazers,Philadelphia 76ers
Los Angeles Lakers,Utah Jazz
Boston Celtics,Washington Wizards
Indiana Pacers,Denver Nuggets
Houston Rockets,Los Angeles Lakers
Phoenix Suns,Minnesota Timberwolves
Miami Heat,Oklahoma City Thunder
